AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
204,Mohania,AJAY KUMAR,Independent,1135,3,1138,0.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,7
204,Mohania,KANHAIYA RAM,Jantantra Awaj Party,1102,4,1106,0.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,8
204,Mohania,RANJIT DOM,Aam Aadmi Party,1059,1,1060,0.56,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,9
204,Mohania,NITISH KUMAR,Asankhya Samaj Party,843,0,843,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,10
204,Mohania,INDRAJIT RAM,Independent,565,3,568,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,11
204,Mohania,BABUDHAN PASI,Rashtriya Jansambhavna Party,404,2,406,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,12
204,Mohania,MUNNA KUMAR,Nationalist Congress Party,309,9,318,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04204.htm,13
205,Bhabua,BHARAT BIND,Bharatiya Janata Party,79696,343,80039,41.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,1
205,Bhabua,BIRENDRA KUMAR SINGH,Rashtriya Janata Dal,55032,592,55624,28.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,2
205,Bhabua,VIKASH SINGH,Bahujan Samaj Party,39452,259,39711,20.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,3
205,Bhabua,JAINENDRA KUMAR ARYA,Jan Suraaj Party,6665,110,6775,3.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,4
205,Bhabua,VIKASH KUMAR TIWARI,Rashtriya Lok Janshakti Party,6161,83,6244,3.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,5
205,Bhabua,NOTA,None of the Above,1919,8,1927,1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,6
205,Bhabua,MOHAMMAD AMIRUDDIN ANSARI,Aam Aadmi Party,1122,16,1138,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,7
205,Bhabua,SHISHUPAL SINGH,Independent,777,1,778,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,8
205,Bhabua,AJEET KUMAR PATEL,Independent,720,2,722,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04205.htm,9
206,Chainpur,MD. ZAMA KHAN,Janata Dal (United),70597,279,70876,30.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,1
206,Chainpur,BRIJ KISHOR BIND,Rashtriya Janata Dal,62177,337,62514,27.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,2
206,Chainpur,DHIRAJ KUMAR SINGH,Bahujan Samaj Party,50987,213,51200,22.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,3
206,Chainpur,HEMANT KUMAR CHOUBEY,Jan Suraaj Party,6820,57,6877,3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,4
206,Chainpur,RAJA LAL SINGH,Bhagidari Party(P),5334,4,5338,2.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,5
206,Chainpur,UTTAM PATEL,Independent,5279,23,5302,2.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,6
206,Chainpur,GOVIND VIND,Vikassheel Insaan Party,5128,16,5144,2.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,7
206,Chainpur,SUSHANK KUMAR SINGH,Suheldev Bharatiya Samaj Party,4898,2,4900,2.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,8
206,Chainpur,MAJNU GOND,Aazad Samaj Party (Kanshi Ram),3244,8,3252,1.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,9
206,Chainpur,RAM RAJ SHARMA,Aam Aadmi Party,1974,6,1980,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,10
206,Chainpur,GOPAL VINDA,Independent,1747,0,1747,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,11
206,Chainpur,NOTA,None of the Above,1314,7,1321,0.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,12
206,Chainpur,AKASH RANJAN,Independent,1218,1,1219,0.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,13
206,Chainpur,ANIL KUMAR SINGH,Jansatta Party of India,1154,1,1155,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,14
206,Chainpur,MADHAW SINGH,Independent,1150,2,1152,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,15
206,Chainpur,SUNIL SHARMA,Jagrook Janta Party,933,0,933,0.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,16
206,Chainpur,PRIYANKA,Independent,789,1,790,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,17
206,Chainpur,MAHENDRA PRASAD,Independent,779,0,779,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,18
206,Chainpur,SUNIL KUMAR,Sarvlokhit Samaj Party,664,2,666,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,19
206,Chainpur,ANUJ KUMAR DUBEY,Uday Bharatam Party,627,0,627,0.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,20
206,Chainpur,DINDAYAL SINGH KUSHAWAHA,Samata Party,444,1,445,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,21
206,Chainpur,SHRAVAN BIND,Independent,440,1,441,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,22
206,Chainpur,RAM EKABAL PRASAD,Independent,422,0,422,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04206.htm,23
207,Chenari,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),95310,269,95579,46.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,1
207,Chenari,MANGAL RAM,Indian National Congress,73182,409,73591,35.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,2
207,Chenari,NEHA KUMARI,Jan Suraaj Party,9311,93,9404,4.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,3
207,Chenari,AMIT PASWAN,Aazad Samaj Party (Kanshi Ram),7492,44,7536,3.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,4
207,Chenari,SUKHARI RAM,Independent,4265,1,4266,2.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,5
207,Chenari,SWETA DEVI,Bahujan Samaj Party,3500,11,3511,1.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,6
207,Chenari,NOTA,None of the Above,2324,4,2328,1.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,7
207,Chenari,HARE RAM RAM,Independent,2006,0,2006,0.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,8
207,Chenari,ASHA  PASWAN,Rashtriya Lok Janshakti Party,1591,9,1600,0.78,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,9
207,Chenari,PRAMHANSH KUMAR,Independent,1452,0,1452,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,10
207,Chenari,NEHA KUMARI,Independent,1260,8,1268,0.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,11
207,Chenari,PANKAJ KUMAR,Independent,1064,0,1064,0.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,12
207,Chenari,SALONI DEVI OMPRAKASH RAM,Republican Party of India (A),814,0,814,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,13
207,Chenari,SUNIL RAM,Rashtriya Jansambhavna Party,623,0,623,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,14
207,Chenari,BHJURAM,Rashtriya Samanta Dal,432,1,433,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,15
207,Chenari,RAVISHANKAR PARASAD,Lohiya Janta Dal,318,0,318,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04207.htm,16
208,Sasaram,SNEHLATA,Rashtriya Lok Morcha,104701,305,105006,47.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,1
208,Sasaram,SATENDRA SAH,Rashtriya Janata Dal,79046,517,79563,35.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,2
208,Sasaram,ASHOK KUMAR,Bahujan Samaj Party,10177,84,10261,4.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,3
208,Sasaram,BINAY KUMAR SINGH,Jan Suraaj Party,6400,95,6495,2.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,4
208,Sasaram,MD SHAHZAD HUSSAIN,Aazad Samaj Party (Kanshi Ram),3500,17,3517,1.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,5
208,Sasaram,REKHA DEVI,Suheldev Bharatiya Samaj Party,2909,9,2918,1.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,6
208,Sasaram,VIVEK KUMAR,Independent,2775,13,2788,1.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,7
208,Sasaram,ARMAN AHMAD KHAN,Aam Aadmi Party,1063,4,1067,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,8
208,Sasaram,KUMARI ARCHANA GUPTA,Independent,1024,3,1027,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,9
208,Sasaram,DHANJIT SHARMA,Jagrook Janta Party,1016,1,1017,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,10
208,Sasaram,NOTA,None of the Above,953,8,961,0.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,11
208,Sasaram,GEETA DEVI,Independent,876,0,876,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,12
208,Sasaram,BIMAL KANT DUBEY,Independent,860,0,860,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,13
208,Sasaram,ASHUTOSH SINGH,Nationalist Congress Party,695,13,708,0.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,14
208,Sasaram,JAKIR HUSAIN,Independent,658,0,658,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,15
208,Sasaram,ANAND KUMAR GUPTA,Independent,602,1,603,0.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,16
208,Sasaram,YASH RAJ SINGH,Jai Hind Force,598,2,600,0.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,17
208,Sasaram,OMJEET KUMAR,Independent,517,4,521,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,18
208,Sasaram,NIRANJAN KUMAR,Independent,371,0,371,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,19
208,Sasaram,LAL MATI DEVI,Independent,345,2,347,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,20
208,Sasaram,KRISHNA KUMAR SINGH,Independent,346,0,346,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,21
208,Sasaram,RAMAYAN PASWAN,Independent,326,1,327,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,22
208,Sasaram,ARIF ISAIN HUSSAIN,Independent,251,3,254,0.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04208.htm,23
209,Kargahar,BASHISTH SINGH,Janata Dal (United),92082,403,92485,42.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,1
209,Kargahar,UDAY PRATAP SINGH,Bahujan Samaj Party,56551,258,56809,25.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,2
209,Kargahar,SANTOSH KUMAR MISHRA,Indian National Congress,39135,198,39333,17.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,3
209,Kargahar,RITESH RANJAN,Jan Suraaj Party,16208,90,16298,7.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,4
209,Kargahar,SHIV KUMAR SINGH,Independent,3097,0,3097,1.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,5
209,Kargahar,NOTA,None of the Above,3012,1,3013,1.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,6
209,Kargahar,GOVARDHAN SINGH,Independent,2495,4,2499,1.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,7
209,Kargahar,MAHENDRA PRASAD GUPTA,Communist Party of India,2352,10,2362,1.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,8
209,Kargahar,RAMSUNDAR PAL,Independent,1189,1,1190,0.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,9
209,Kargahar,MANTU KUMAR,Lok Shakti Party (Loktantrik),791,1,792,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,10
209,Kargahar,AMIT KUMAR,Rashtriya Sanatan Party,759,1,760,0.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,11
209,Kargahar,DEEPAK KUMAR,Independent,468,0,468,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,12
209,Kargahar,RAMESAR NONIYA,Rashtriya Jansambhavna Party,457,1,458,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04209.htm,13
210,Dinara,ALOK KUMAR SINGH,Rashtriya Lok Morcha,78151,187,78338,41.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,1
210,Dinara,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,Rashtriya Janata Dal,67225,279,67504,36.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,2
210,Dinara,JAI KUMAR SINGH,Independent,17756,83,17839,9.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,3
210,Dinara,MALTI DEVI,Bahujan Samaj Party,8361,21,8382,4.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,4
210,Dinara,SANJAY KUMAR,Jan Suraaj Party,6356,50,6406,3.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,5
210,Dinara,NOTA,None of the Above,1630,1,1631,0.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,6
210,Dinara,RAMA KANT RAM,Independent,1422,0,1422,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,7
210,Dinara,MUNNA SINGH,Independent,1416,1,1417,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,8
210,Dinara,ANIL KUMAR SINGH,Lohiya Janta Dal,1138,2,1140,0.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,9
210,Dinara,BHUPESH SINGH,Rashtriya Lok Janshakti Party,872,27,899,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,10
210,Dinara,MANOJ KUMAR SINGH,Nationalist Congress Party,777,4,781,0.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,11
210,Dinara,NIRANJAN KUMAR RAY,Independent,680,1,681,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,12
210,Dinara,ABHISHEK RANJAN,Independent,623,1,624,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04210.htm,13
211,Nokha,NAGENDRA CHANDRAVANSHI,Janata Dal (United),92815,378,93193,51.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,1
211,Nokha,ANITA DEVI,Rashtriya Janata Dal,68688,451,69139,37.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,2
211,Nokha,NASRULLAH KHAN,Jan Suraaj Party,4766,65,4831,2.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,3
211,Nokha,SUNITA KUMARI,Bahujan Samaj Party,4359,14,4373,2.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,4
211,Nokha,NOTA,None of the Above,3396,4,3400,1.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,5
211,Nokha,SARVESHWAR TIWARY,Independent,2752,1,2753,1.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,6
211,Nokha,DHANANJAY PASWAN,Suheldev Bharatiya Samaj Party,1377,4,1381,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,7
211,Nokha,ARVIND KUMAR,Bhartiya Lok Chetna Party,1301,6,1307,0.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,8
211,Nokha,SANTOSH KUMAR SINGH,Rashtriya Jansambhavna Party,798,1,799,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,9
211,Nokha,RANJAN KUMAR CHAUDHARY,Bharateeya Manavadhikar party,430,0,430,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,10
211,Nokha,AJEET KUMAR SINGH,Peoples Party of India (Democratic),364,4,368,0.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,11
211,Nokha,ASHOK KUMAR SINGH,Lohiya Janta Dal,341,0,341,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04211.htm,12
212,Dehri,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),103684,338,104022,54.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,1
212,Dehri,GUDDU KUMAR CHANDRAWANSI,Rashtriya Janata Dal,67622,432,68054,35.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,2
212,Dehri,PHATE BAHADUR SINGH,Aazad Samaj Party (Kanshi Ram),6961,42,7003,3.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,3
212,Dehri,PRADEEP LALLAN SINGH,Jan Suraaj Party,4289,34,4323,2.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,4
212,Dehri,NOTA,None of the Above,2400,5,2405,1.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,5
212,Dehri,SAROJ KUMAR SINGH,Independent,1804,2,1806,0.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,6
212,Dehri,PRADIP KUMAR JOSHI,Rashtra Sewa Dal,1749,13,1762,0.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,7
212,Dehri,RANJAN KUMAR,Independent,721,3,724,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,8
212,Dehri,MD. EKRAM ANSARI,Independent,570,0,570,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,9
212,Dehri,SAMEER KUMAR,Independent,564,1,565,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,10
212,Dehri,INDRA RAJ ROUSHAN,Independent,356,2,358,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04212.htm,11
213,Karakat,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),73748,409,74157,37.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,1
213,Karakat,MAHABALI SINGH,Janata Dal (United),71046,275,71321,36.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,2
213,Karakat,JYOTI SINGH,Independent,23351,118,23469,11.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,3
213,Karakat,YOGENDRA SINGH,Jan Suraaj Party,7403,100,7503,3.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,4
213,Karakat,BANDANA RAJ,Bahujan Samaj Party,7310,67,7377,3.73,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,5
213,Karakat,NOTA,None of the Above,5760,5,5765,2.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,6
213,Karakat,BANSHIDHAR SINGH,Independent,3019,0,3019,1.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,7
213,Karakat,MANTU CHOUDHARY,Independent,1206,0,1206,0.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,8
213,Karakat,MD. IRSHAD KHAN,Lohiya Janta Dal,992,3,995,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,9
213,Karakat,AMIT KUMAR MISHRA,Independent,662,5,667,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,10
213,Karakat,ARUN SINGH (VILL-KURUR),Independent,592,8,600,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,11
213,Karakat,AYODHYA RAM,Independent,585,2,587,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,12
213,Karakat,NIRMAL SHARMA,Jagrook Janta Party,549,4,553,0.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,13
213,Karakat,AMIT UPADHAYAY,Independent,495,1,496,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04213.htm,14
214,Arwal,MANOJ KUMAR,Bharatiya Janata Party,79400,454,79854,46.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,1
214,Arwal,MAHANAND SINGH,Communist Party of India (Marxist-Leninist) (Liberation),65247,514,65761,38.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,2
214,Arwal,VEERENDRA PRASAD,Independent,3879,0,3879,2.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,3
214,Arwal,SHEKHAR RAM,Bahujan Samaj Party,3706,13,3719,2.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,4
214,Arwal,KUNTI DEVI,Jan Suraaj Party,3311,65,3376,1.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,5
214,Arwal,PANCHAM KUMAR,Suheldev Bharatiya Samaj Party,3173,3,3176,1.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,6
214,Arwal,SATYENDRA PRASAD SHARMA,Independent,2722,4,2726,1.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,7
214,Arwal,DIVYA BHARTI,Rashtriya Lok Janshakti Party,1700,24,1724,1.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,8
214,Arwal,AMITESH KUMAR,Independent,1608,9,1617,0.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,9
214,Arwal,NOTA,None of the Above,1442,9,1451,0.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,10
214,Arwal,MANOJ KUMAR SANTOSH,Independent,1434,5,1439,0.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,11
214,Arwal,ARUN KUMAR,Janshakti Janta Dal,794,10,804,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,12
214,Arwal,CHANDRA SHEKHAR YADAV,Independent,563,3,566,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,13
214,Arwal,KAJAL DEVI,Independent,433,3,436,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,14
214,Arwal,VIKASH KUMAR,Desh Janhit Party,343,0,343,0.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,15
214,Arwal,MANSUR ALAM,Aam Janta Pragati Party,261,3,264,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04214.htm,16
215,Kurtha,PAPPU KUMAR VERMA,Janata Dal (United),74089,377,74466,44.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,1
215,Kurtha,KUMAR KRISHNA MOHAN URF SUDAY YADAV,Rashtriya Janata Dal,68577,408,68985,41.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,2
215,Kurtha,RAMBALI SINGH,Jan Suraaj Party,4996,34,5030,3.03,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,3
215,Kurtha,ASHOK KUMAR,Bahujan Samaj Party,3321,17,3338,2.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,4
215,Kurtha,BUDDHADEV SAV,Independent,2326,1,2327,1.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,5
215,Kurtha,NOTA,None of the Above,1778,5,1783,1.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,6
215,Kurtha,RAUSHAN KUMAR,Independent,1639,3,1642,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,7
215,Kurtha,VINOD KUMAR,Independent,1460,4,1464,0.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,8
215,Kurtha,UMA SHANKAR SHARAN,Aam Aadmi Party,1441,3,1444,0.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,9
215,Kurtha,ARUN KUMAR ALIAS ARUN KUSHWAHA,Rashtriya Lok Samta Party,1420,8,1428,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,10
215,Kurtha,VIKASH KUMAR,Independent,1353,0,1353,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,11
215,Kurtha,NIRAJ KUMAR,Independent,1200,1,1201,0.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,12
215,Kurtha,RUPESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),929,1,930,0.56,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,13
